"Notes"	"Year"	"Year Code"	"State"	"State Code"	"Multiple Cause of death"	"Multiple Cause of death Code"	Deaths	Population	Crude Rate
	"2003"	"2003"	"Delaware"	"10"	"Other opioids"	"T40.2"	16	818003	Unreliable
	"2003"	"2003"	"Delaware"	"10"	"Methadone"	"T40.3"	15	818003	Unreliable
	"2003"	"2003"	"Delaware"	"10"	"Cocaine"	"T40.5"	14	818003	Unreliable
	"2003"	"2003"	"District of Columbia"	"11"	"Methadone"	"T40.3"	10	568502	Unreliable
	"2003"	"2003"	"District of Columbia"	"11"	"Cocaine"	"T40.5"	59	568502	10.4
	"2003"	"2003"	"District of Columbia"	"11"	"Other and unspecified narcotics"	"T40.6"	43	568502	7.6
	"2003"	"2003"	"Florida"	"12"	"Heroin"	"T40.1"	211	17004085	1.2
	"2003"	"2003"	"Florida"	"12"	"Other opioids"	"T40.2"	456	17004085	2.7
	"2003"	"2003"	"Florida"	"12"	"Methadone"	"T40.3"	279	17004085	1.6
	"2003"	"2003"	"Florida"	"12"	"Other synthetic narcotics"	"T40.4"	180	17004085	1.1
	"2003"	"2003"	"Florida"	"12"	"Cocaine"	"T40.5"	507	17004085	3.0
	"2003"	"2003"	"Florida"	"12"	"Other and unspecified narcotics"	"T40.6"	49	17004085	0.3
	"2003"	"2003"	"Georgia"	"13"	"Other opioids"	"T40.2"	95	8622793	1.1
	"2003"	"2003"	"Georgia"	"13"	"Methadone"	"T40.3"	71	8622793	0.8
	"2003"	"2003"	"Georgia"	"13"	"Other synthetic narcotics"	"T40.4"	36	8622793	0.4
	"2003"	"2003"	"Georgia"	"13"	"Cocaine"	"T40.5"	146	8622793	1.7
	"2003"	"2003"	"Georgia"	"13"	"Other and unspecified narcotics"	"T40.6"	52	8622793	0.6
	"2003"	"2003"	"Hawaii"	"15"	"Other opioids"	"T40.2"	26	1251154	2.1
	"2003"	"2003"	"Hawaii"	"15"	"Cocaine"	"T40.5"	17	1251154	Unreliable
	"2003"	"2003"	"Idaho"	"16"	"Other opioids"	"T40.2"	30	1363380	2.2
	"2003"	"2003"	"Idaho"	"16"	"Methadone"	"T40.3"	21	1363380	1.5
	"2003"	"2003"	"Illinois"	"17"	"Heroin"	"T40.1"	22	12556006	0.2
	"2003"	"2003"	"Illinois"	"17"	"Other opioids"	"T40.2"	68	12556006	0.5
	"2003"	"2003"	"Illinois"	"17"	"Methadone"	"T40.3"	68	12556006	0.5
	"2003"	"2003"	"Illinois"	"17"	"Other synthetic narcotics"	"T40.4"	36	12556006	0.3
	"2003"	"2003"	"Illinois"	"17"	"Cocaine"	"T40.5"	439	12556006	3.5
	"2003"	"2003"	"Illinois"	"17"	"Other and unspecified narcotics"	"T40.6"	344	12556006	2.7
	"2003"	"2003"	"Indiana"	"18"	"Other opioids"	"T40.2"	44	6196638	0.7
	"2003"	"2003"	"Indiana"	"18"	"Methadone"	"T40.3"	49	6196638	0.8
	"2003"	"2003"	"Indiana"	"18"	"Other synthetic narcotics"	"T40.4"	26	6196638	0.4
	"2003"	"2003"	"Indiana"	"18"	"Cocaine"	"T40.5"	51	6196638	0.8
	"2003"	"2003"	"Indiana"	"18"	"Other and unspecified narcotics"	"T40.6"	30	6196638	0.5
	"2003"	"2003"	"Iowa"	"19"	"Other opioids"	"T40.2"	18	2941999	Unreliable
	"2003"	"2003"	"Iowa"	"19"	"Other synthetic narcotics"	"T40.4"	13	2941999	Unreliable
	"2003"	"2003"	"Iowa"	"19"	"Cocaine"	"T40.5"	14	2941999	Unreliable
	"2003"	"2003"	"Kansas"	"20"	"Other opioids"	"T40.2"	41	2723004	1.5
	"2003"	"2003"	"Kansas"	"20"	"Methadone"	"T40.3"	23	2723004	0.8
	"2003"	"2003"	"Kansas"	"20"	"Cocaine"	"T40.5"	32	2723004	1.2
	"2003"	"2003"	"Kentucky"	"21"	"Other opioids"	"T40.2"	98	4117170	2.4
	"2003"	"2003"	"Kentucky"	"21"	"Methadone"	"T40.3"	131	4117170	3.2
	"2003"	"2003"	"Kentucky"	"21"	"Other synthetic narcotics"	"T40.4"	27	4117170	0.7
	"2003"	"2003"	"Kentucky"	"21"	"Cocaine"	"T40.5"	43	4117170	1.0
	"2003"	"2003"	"Kentucky"	"21"	"Other and unspecified narcotics"	"T40.6"	36	4117170	0.9
	"2003"	"2003"	"Louisiana"	"22"	"Other opioids"	"T40.2"	56	4521042	1.2
	"2003"	"2003"	"Louisiana"	"22"	"Methadone"	"T40.3"	58	4521042	1.3
	"2003"	"2003"	"Louisiana"	"22"	"Cocaine"	"T40.5"	88	4521042	1.9
	"2003"	"2003"	"Louisiana"	"22"	"Other and unspecified narcotics"	"T40.6"	18	4521042	Unreliable
	"2003"	"2003"	"Maine"	"23"	"Other opioids"	"T40.2"	31	1306513	2.4
	"2003"	"2003"	"Maine"	"23"	"Methadone"	"T40.3"	38	1306513	2.9
	"2003"	"2003"	"Maine"	"23"	"Other synthetic narcotics"	"T40.4"	12	1306513	Unreliable
	"2003"	"2003"	"Maine"	"23"	"Other and unspecified narcotics"	"T40.6"	14	1306513	Unreliable
	"2003"	"2003"	"Maryland"	"24"	"Heroin"	"T40.1"	29	5496269	0.5
	"2003"	"2003"	"Maryland"	"24"	"Other opioids"	"T40.2"	26	5496269	0.5
	"2003"	"2003"	"Maryland"	"24"	"Methadone"	"T40.3"	44	5496269	0.8
	"2003"	"2003"	"Maryland"	"24"	"Other synthetic narcotics"	"T40.4"	11	5496269	Unreliable
	"2003"	"2003"	"Maryland"	"24"	"Cocaine"	"T40.5"	184	5496269	3.3
	"2003"	"2003"	"Maryland"	"24"	"Other and unspecified narcotics"	"T40.6"	461	5496269	8.4
	"2003"	"2003"	"Massachusetts"	"25"	"Heroin"	"T40.1"	23	6422565	0.4
	"2003"	"2003"	"Massachusetts"	"25"	"Other opioids"	"T40.2"	93	6422565	1.4
	"2003"	"2003"	"Massachusetts"	"25"	"Methadone"	"T40.3"	36	6422565	0.6
	"2003"	"2003"	"Massachusetts"	"25"	"Other synthetic narcotics"	"T40.4"	26	6422565	0.4
	"2003"	"2003"	"Massachusetts"	"25"	"Cocaine"	"T40.5"	309	6422565	4.8
	"2003"	"2003"	"Massachusetts"	"25"	"Other and unspecified narcotics"	"T40.6"	430	6422565	6.7
	"2003"	"2003"	"Michigan"	"26"	"Heroin"	"T40.1"	79	10041152	0.8
	"2003"	"2003"	"Michigan"	"26"	"Other opioids"	"T40.2"	82	10041152	0.8
	"2003"	"2003"	"Michigan"	"26"	"Methadone"	"T40.3"	53	10041152	0.5
	"2003"	"2003"	"Michigan"	"26"	"Other synthetic narcotics"	"T40.4"	36	10041152	0.4
	"2003"	"2003"	"Michigan"	"26"	"Cocaine"	"T40.5"	145	10041152	1.4
	"2003"	"2003"	"Michigan"	"26"	"Other and unspecified narcotics"	"T40.6"	46	10041152	0.5
	"2003"	"2003"	"Minnesota"	"27"	"Other opioids"	"T40.2"	44	5053572	0.9
	"2003"	"2003"	"Minnesota"	"27"	"Methadone"	"T40.3"	31	5053572	0.6
	"2003"	"2003"	"Minnesota"	"27"	"Other synthetic narcotics"	"T40.4"	19	5053572	Unreliable
	"2003"	"2003"	"Minnesota"	"27"	"Cocaine"	"T40.5"	38	5053572	0.8
	"2003"	"2003"	"Minnesota"	"27"	"Other and unspecified narcotics"	"T40.6"	37	5053572	0.7
	"2003"	"2003"	"Mississippi"	"28"	"Other opioids"	"T40.2"	12	2868312	Unreliable
	"2003"	"2003"	"Mississippi"	"28"	"Methadone"	"T40.3"	12	2868312	Unreliable
	"2003"	"2003"	"Mississippi"	"28"	"Cocaine"	"T40.5"	21	2868312	0.7
	"2003"	"2003"	"Missouri"	"29"	"Heroin"	"T40.1"	43	5709403	0.8
	"2003"	"2003"	"Missouri"	"29"	"Other opioids"	"T40.2"	141	5709403	2.5
	"2003"	"2003"	"Missouri"	"29"	"Methadone"	"T40.3"	69	5709403	1.2
	"2003"	"2003"	"Missouri"	"29"	"Other synthetic narcotics"	"T40.4"	36	5709403	0.6
	"2003"	"2003"	"Missouri"	"29"	"Cocaine"	"T40.5"	102	5709403	1.8
	"2003"	"2003"	"Missouri"	"29"	"Other and unspecified narcotics"	"T40.6"	26	5709403	0.5
	"2003"	"2003"	"Montana"	"30"	"Other opioids"	"T40.2"	17	919630	Unreliable
	"2003"	"2003"	"Montana"	"30"	"Methadone"	"T40.3"	27	919630	2.9
	"2003"	"2003"	"Nebraska"	"31"	"Other opioids"	"T40.2"	11	1738643	Unreliable
	"2003"	"2003"	"Nevada"	"32"	"Heroin"	"T40.1"	36	2248850	1.6
	"2003"	"2003"	"Nevada"	"32"	"Other opioids"	"T40.2"	129	2248850	5.7
	"2003"	"2003"	"Nevada"	"32"	"Methadone"	"T40.3"	57	2248850	2.5
	"2003"	"2003"	"Nevada"	"32"	"Other synthetic narcotics"	"T40.4"	18	2248850	Unreliable
	"2003"	"2003"	"Nevada"	"32"	"Cocaine"	"T40.5"	118	2248850	5.2
	"2003"	"2003"	"Nevada"	"32"	"Other and unspecified narcotics"	"T40.6"	74	2248850	3.3
	"2003"	"2003"	"New Hampshire"	"33"	"Other opioids"	"T40.2"	27	1279840	2.1
	"2003"	"2003"	"New Hampshire"	"33"	"Methadone"	"T40.3"	39	1279840	3.0
	"2003"	"2003"	"New Hampshire"	"33"	"Other synthetic narcotics"	"T40.4"	11	1279840	Unreliable
	"2003"	"2003"	"New Hampshire"	"33"	"Cocaine"	"T40.5"	26	1279840	2.0
	"2003"	"2003"	"New Hampshire"	"33"	"Other and unspecified narcotics"	"T40.6"	31	1279840	2.4
	"2003"	"2003"	"New Jersey"	"34"	"Heroin"	"T40.1"	223	8601402	2.6
	"2003"	"2003"	"New Jersey"	"34"	"Other opioids"	"T40.2"	119	8601402	1.4
	"2003"	"2003"	"New Jersey"	"34"	"Methadone"	"T40.3"	55	8601402	0.6
	"2003"	"2003"	"New Jersey"	"34"	"Other synthetic narcotics"	"T40.4"	31	8601402	0.4
	"2003"	"2003"	"New Jersey"	"34"	"Cocaine"	"T40.5"	231	8601402	2.7
	"2003"	"2003"	"New Jersey"	"34"	"Other and unspecified narcotics"	"T40.6"	92	8601402	1.1
	"2003"	"2003"	"New Mexico"	"35"	"Heroin"	"T40.1"	26	1877574	1.4
	"2003"	"2003"	"New Mexico"	"35"	"Other opioids"	"T40.2"	147	1877574	7.8
	"2003"	"2003"	"New Mexico"	"35"	"Methadone"	"T40.3"	37	1877574	2.0
	"2003"	"2003"	"New Mexico"	"35"	"Other synthetic narcotics"	"T40.4"	26	1877574	1.4
	"2003"	"2003"	"New Mexico"	"35"	"Cocaine"	"T40.5"	120	1877574	6.4
	"2003"	"2003"	"New York"	"36"	"Heroin"	"T40.1"	52	19175939	0.3
	"2003"	"2003"	"New York"	"36"	"Other opioids"	"T40.2"	68	19175939	0.4
	"2003"	"2003"	"New York"	"36"	"Methadone"	"T40.3"	155	19175939	0.8
	"2003"	"2003"	"New York"	"36"	"Other synthetic narcotics"	"T40.4"	29	19175939	0.2
	"2003"	"2003"	"New York"	"36"	"Cocaine"	"T40.5"	438	19175939	2.3
	"2003"	"2003"	"New York"	"36"	"Other and unspecified narcotics"	"T40.6"	415	19175939	2.2
	"2003"	"2003"	"North Carolina"	"37"	"Heroin"	"T40.1"	52	8422501	0.6
	"2003"	"2003"	"North Carolina"	"37"	"Other opioids"	"T40.2"	142	8422501	1.7
	"2003"	"2003"	"North Carolina"	"37"	"Methadone"	"T40.3"	255	8422501	3.0
	"2003"	"2003"	"North Carolina"	"37"	"Other synthetic narcotics"	"T40.4"	73	8422501	0.9
	"2003"	"2003"	"North Carolina"	"37"	"Cocaine"	"T40.5"	185	8422501	2.2
	"2003"	"2003"	"North Carolina"	"37"	"Other and unspecified narcotics"	"T40.6"	24	8422501	0.3
	"2003"	"2003"	"Ohio"	"39"	"Heroin"	"T40.1"	95	11434788	0.8
	"2003"	"2003"	"Ohio"	"39"	"Other opioids"	"T40.2"	180	11434788	1.6
	"2003"	"2003"	"Ohio"	"39"	"Methadone"	"T40.3"	77	11434788	0.7
	"2003"	"2003"	"Ohio"	"39"	"Other synthetic narcotics"	"T40.4"	49	11434788	0.4
	"2003"	"2003"	"Ohio"	"39"	"Cocaine"	"T40.5"	191	11434788	1.7
	"2003"	"2003"	"Ohio"	"39"	"Other and unspecified narcotics"	"T40.6"	37	11434788	0.3
	"2003"	"2003"	"Oklahoma"	"40"	"Other opioids"	"T40.2"	145	3504892	4.1
	"2003"	"2003"	"Oklahoma"	"40"	"Methadone"	"T40.3"	94	3504892	2.7
	"2003"	"2003"	"Oklahoma"	"40"	"Other synthetic narcotics"	"T40.4"	46	3504892	1.3
	"2003"	"2003"	"Oklahoma"	"40"	"Cocaine"	"T40.5"	50	3504892	1.4
	"2003"	"2003"	"Oregon"	"41"	"Heroin"	"T40.1"	83	3547376	2.3
	"2003"	"2003"	"Oregon"	"41"	"Other opioids"	"T40.2"	81	3547376	2.3
	"2003"	"2003"	"Oregon"	"41"	"Methadone"	"T40.3"	94	3547376	2.6
	"2003"	"2003"	"Oregon"	"41"	"Other synthetic narcotics"	"T40.4"	11	3547376	Unreliable
	"2003"	"2003"	"Oregon"	"41"	"Cocaine"	"T40.5"	35	3547376	1.0
	"2003"	"2003"	"Oregon"	"41"	"Other and unspecified narcotics"	"T40.6"	16	3547376	Unreliable
	"2003"	"2003"	"Pennsylvania"	"42"	"Heroin"	"T40.1"	166	12374658	1.3
	"2003"	"2003"	"Pennsylvania"	"42"	"Other opioids"	"T40.2"	133	12374658	1.1
	"2003"	"2003"	"Pennsylvania"	"42"	"Methadone"	"T40.3"	76	12374658	0.6
	"2003"	"2003"	"Pennsylvania"	"42"	"Other synthetic narcotics"	"T40.4"	70	12374658	0.6
	"2003"	"2003"	"Pennsylvania"	"42"	"Cocaine"	"T40.5"	192	12374658	1.6
	"2003"	"2003"	"Pennsylvania"	"42"	"Other and unspecified narcotics"	"T40.6"	89	12374658	0.7
	"2003"	"2003"	"Rhode Island"	"44"	"Other opioids"	"T40.2"	17	1071342	Unreliable
	"2003"	"2003"	"Rhode Island"	"44"	"Methadone"	"T40.3"	21	1071342	2.0
	"2003"	"2003"	"Rhode Island"	"44"	"Cocaine"	"T40.5"	47	1071342	4.4
	"2003"	"2003"	"Rhode Island"	"44"	"Other and unspecified narcotics"	"T40.6"	69	1071342	6.4
	"2003"	"2003"	"South Carolina"	"45"	"Other opioids"	"T40.2"	55	4150297	1.3
	"2003"	"2003"	"South Carolina"	"45"	"Methadone"	"T40.3"	20	4150297	0.5
	"2003"	"2003"	"South Carolina"	"45"	"Other synthetic narcotics"	"T40.4"	21	4150297	0.5
	"2003"	"2003"	"South Carolina"	"45"	"Cocaine"	"T40.5"	72	4150297	1.7
	"2003"	"2003"	"Tennessee"	"47"	"Other opioids"	"T40.2"	151	5847812	2.6
	"2003"	"2003"	"Tennessee"	"47"	"Methadone"	"T40.3"	84	5847812	1.4
	"2003"	"2003"	"Tennessee"	"47"	"Other synthetic narcotics"	"T40.4"	64	5847812	1.1
	"2003"	"2003"	"Tennessee"	"47"	"Cocaine"	"T40.5"	121	5847812	2.1
	"2003"	"2003"	"Tennessee"	"47"	"Other and unspecified narcotics"	"T40.6"	62	5847812	1.1
	"2003"	"2003"	"Texas"	"48"	"Heroin"	"T40.1"	197	22030931	0.9
	"2003"	"2003"	"Texas"	"48"	"Other opioids"	"T40.2"	374	22030931	1.7
	"2003"	"2003"	"Texas"	"48"	"Methadone"	"T40.3"	161	22030931	0.7
	"2003"	"2003"	"Texas"	"48"	"Other synthetic narcotics"	"T40.4"	81	22030931	0.4
	"2003"	"2003"	"Texas"	"48"	"Cocaine"	"T40.5"	534	22030931	2.4
	"2003"	"2003"	"Texas"	"48"	"Other and unspecified narcotics"	"T40.6"	68	22030931	0.3
	"2003"	"2003"	"Utah"	"49"	"Heroin"	"T40.1"	32	2360137	1.4
	"2003"	"2003"	"Utah"	"49"	"Other opioids"	"T40.2"	168	2360137	7.1
	"2003"	"2003"	"Utah"	"49"	"Methadone"	"T40.3"	84	2360137	3.6
	"2003"	"2003"	"Utah"	"49"	"Other synthetic narcotics"	"T40.4"	24	2360137	1.0
	"2003"	"2003"	"Utah"	"49"	"Cocaine"	"T40.5"	77	2360137	3.3
	"2003"	"2003"	"Utah"	"49"	"Other and unspecified narcotics"	"T40.6"	47	2360137	2.0
	"2003"	"2003"	"Vermont"	"50"	"Other opioids"	"T40.2"	32	617858	5.2
	"2003"	"2003"	"Vermont"	"50"	"Methadone"	"T40.3"	11	617858	Unreliable
	"2003"	"2003"	"Vermont"	"50"	"Other synthetic narcotics"	"T40.4"	12	617858	Unreliable
	"2003"	"2003"	"Virginia"	"51"	"Heroin"	"T40.1"	94	7366977	1.3
	"2003"	"2003"	"Virginia"	"51"	"Other opioids"	"T40.2"	152	7366977	2.1
	"2003"	"2003"	"Virginia"	"51"	"Methadone"	"T40.3"	113	7366977	1.5
	"2003"	"2003"	"Virginia"	"51"	"Other synthetic narcotics"	"T40.4"	45	7366977	0.6
	"2003"	"2003"	"Virginia"	"51"	"Cocaine"	"T40.5"	124	7366977	1.7
	"2003"	"2003"	"Virginia"	"51"	"Other and unspecified narcotics"	"T40.6"	49	7366977	0.7
	"2003"	"2003"	"Washington"	"53"	"Heroin"	"T40.1"	66	6104115	1.1
	"2003"	"2003"	"Washington"	"53"	"Other opioids"	"T40.2"	166	6104115	2.7
	"2003"	"2003"	"Washington"	"53"	"Methadone"	"T40.3"	169	6104115	2.8
	"2003"	"2003"	"Washington"	"53"	"Other synthetic narcotics"	"T40.4"	38	6104115	0.6
	"2003"	"2003"	"Washington"	"53"	"Cocaine"	"T40.5"	165	6104115	2.7
	"2003"	"2003"	"Washington"	"53"	"Other and unspecified narcotics"	"T40.6"	132	6104115	2.2
	"2003"	"2003"	"West Virginia"	"54"	"Other opioids"	"T40.2"	122	1812295	6.7
	"2003"	"2003"	"West Virginia"	"54"	"Methadone"	"T40.3"	69	1812295	3.8
	"2003"	"2003"	"West Virginia"	"54"	"Other synthetic narcotics"	"T40.4"	46	1812295	2.5
	"2003"	"2003"	"West Virginia"	"54"	"Cocaine"	"T40.5"	55	1812295	3.0
	"2003"	"2003"	"Wisconsin"	"55"	"Heroin"	"T40.1"	26	5479203	0.5
	"2003"	"2003"	"Wisconsin"	"55"	"Other opioids"	"T40.2"	106	5479203	1.9
	"2003"	"2003"	"Wisconsin"	"55"	"Methadone"	"T40.3"	43	5479203	0.8
	"2003"	"2003"	"Wisconsin"	"55"	"Other synthetic narcotics"	"T40.4"	42	5479203	0.8
	"2003"	"2003"	"Wisconsin"	"55"	"Cocaine"	"T40.5"	116	5479203	2.1
	"2003"	"2003"	"Wisconsin"	"55"	"Other and unspecified narcotics"	"T40.6"	12	5479203	Unreliable
	"2004"	"2004"	"Alabama"	"01"	"Other opioids"	"T40.2"	37	4530729	0.8
	"2004"	"2004"	"Alabama"	"01"	"Methadone"	"T40.3"	51	4530729	1.1
	"2004"	"2004"	"Alabama"	"01"	"Other synthetic narcotics"	"T40.4"	13	4530729	Unreliable
	"2004"	"2004"	"Alabama"	"01"	"Cocaine"	"T40.5"	55	4530729	1.2
	"2004"	"2004"	"Arizona"	"04"	"Heroin"	"T40.1"	42	5652404	0.7
	"2004"	"2004"	"Arizona"	"04"	"Other opioids"	"T40.2"	151	5652404	2.7
	"2004"	"2004"	"Arizona"	"04"	"Methadone"	"T40.3"	70	5652404	1.2
	"2004"	"2004"	"Arizona"	"04"	"Other synthetic narcotics"	"T40.4"	29	5652404	0.5
	"2004"	"2004"	"Arizona"	"04"	"Cocaine"	"T40.5"	123	5652404	2.2
	"2004"	"2004"	"Arizona"	"04"	"Other and unspecified narcotics"	"T40.6"	95	5652404	1.7
	"2004"	"2004"	"Arkansas"	"05"	"Other opioids"	"T40.2"	67	2749686	2.4
	"2004"	"2004"	"Arkansas"	"05"	"Methadone"	"T40.3"	54	2749686	2.0
	"2004"	"2004"	"Arkansas"	"05"	"Other synthetic narcotics"	"T40.4"	30	2749686	1.1
	"2004"	"2004"	"Arkansas"	"05"	"Cocaine"	"T40.5"	28	2749686	1.0
	"2004"	"2004"	"California"	"06"	"Heroin"	"T40.1"	312	35574576	0.9
	"2004"	"2004"	"California"	"06"	"Other opioids"	"T40.2"	811	35574576	2.3
	"2004"	"2004"	"California"	"06"	"Methadone"	"T40.3"	227	35574576	0.6
	"2004"	"2004"	"California"	"06"	"Other synthetic narcotics"	"T40.4"	147	35574576	0.4
	"2004"	"2004"	"California"	"06"	"Cocaine"	"T40.5"	478	35574576	1.3
	"2004"	"2004"	"California"	"06"	"Other and unspecified narcotics"	"T40.6"	271	35574576	0.8
	"2004"	"2004"	"California"	"06"	"Cannabis (derivatives)"	"T40.7"	27	35574576	0.1
	"2004"	"2004"	"Colorado"	"08"	"Heroin"	"T40.1"	23	4575013	0.5
	"2004"	"2004"	"Colorado"	"08"	"Other opioids"	"T40.2"	84	4575013	1.8
	"2004"	"2004"	"Colorado"	"08"	"Methadone"	"T40.3"	40	4575013	0.9
	"2004"	"2004"	"Colorado"	"08"	"Other synthetic narcotics"	"T40.4"	23	4575013	0.5
	"2004"	"2004"	"Colorado"	"08"	"Cocaine"	"T40.5"	143	4575013	3.1
	"2004"	"2004"	"Colorado"	"08"	"Other and unspecified narcotics"	"T40.6"	82	4575013	1.8
	"2004"	"2004"	"Connecticut"	"09"	"Heroin"	"T40.1"	94	3496094	2.7
	"2004"	"2004"	"Connecticut"	"09"	"Other opioids"	"T40.2"	31	3496094	0.9
	"2004"	"2004"	"Connecticut"	"09"	"Methadone"	"T40.3"	44	3496094	1.3
	"2004"	"2004"	"Connecticut"	"09"	"Other synthetic narcotics"	"T40.4"	10	3496094	Unreliable
	"2004"	"2004"	"Connecticut"	"09"	"Cocaine"	"T40.5"	61	3496094	1.7
	"2004"	"2004"	"Connecticut"	"09"	"Other and unspecified narcotics"	"T40.6"	25	3496094	0.7
	"2004"	"2004"	"Delaware"	"10"	"Other opioids"	"T40.2"	15	830803	Unreliable
	"2004"	"2004"	"Delaware"	"10"	"Cocaine"	"T40.5"	18	830803	Unreliable
	"2004"	"2004"	"District of Columbia"	"11"	"Other opioids"	"T40.2"	19	567754	Unreliable
	"2004"	"2004"	"District of Columbia"	"11"	"Cocaine"	"T40.5"	44	567754	7.7
	"2004"	"2004"	"District of Columbia"	"11"	"Other and unspecified narcotics"	"T40.6"	22	567754	3.9
	"2004"	"2004"	"Florida"	"12"	"Heroin"	"T40.1"	146	17415318	0.8
	"2004"	"2004"	"Florida"	"12"	"Other opioids"	"T40.2"	573	17415318	3.3
	"2004"	"2004"	"Florida"	"12"	"Methadone"	"T40.3"	451	17415318	2.6
	"2004"	"2004"	"Florida"	"12"	"Other synthetic narcotics"	"T40.4"	165	17415318	0.9
	"2004"	"2004"	"Florida"	"12"	"Cocaine"	"T40.5"	540	17415318	3.1
	"2004"	"2004"	"Florida"	"12"	"Other and unspecified narcotics"	"T40.6"	62	17415318	0.4
	"2004"	"2004"	"Georgia"	"13"	"Other opioids"	"T40.2"	109	8769252	1.2
	"2004"	"2004"	"Georgia"	"13"	"Methadone"	"T40.3"	97	8769252	1.1
	"2004"	"2004"	"Georgia"	"13"	"Other synthetic narcotics"	"T40.4"	35	8769252	0.4
	"2004"	"2004"	"Georgia"	"13"	"Cocaine"	"T40.5"	163	8769252	1.9
	"2004"	"2004"	"Georgia"	"13"	"Other and unspecified narcotics"	"T40.6"	37	8769252	0.4
	"2004"	"2004"	"Hawaii"	"15"	"Other opioids"	"T40.2"	35	1273569	2.7
	"2004"	"2004"	"Hawaii"	"15"	"Methadone"	"T40.3"	16	1273569	Unreliable
	"2004"	"2004"	"Hawaii"	"15"	"Cocaine"	"T40.5"	14	1273569	Unreliable
	"2004"	"2004"	"Idaho"	"16"	"Other opioids"	"T40.2"	21	1391802	1.5
	"2004"	"2004"	"Idaho"	"16"	"Methadone"	"T40.3"	23	1391802	1.7
	"2004"	"2004"	"Illinois"	"17"	"Heroin"	"T40.1"	36	12589773	0.3
	"2004"	"2004"	"Illinois"	"17"	"Other opioids"	"T40.2"	79	12589773	0.6
	"2004"	"2004"	"Illinois"	"17"	"Methadone"	"T40.3"	77	12589773	0.6
	"2004"	"2004"	"Illinois"	"17"	"Other synthetic narcotics"	"T40.4"	41	12589773	0.3
	"2004"	"2004"	"Illinois"	"17"	"Cocaine"	"T40.5"	554	12589773	4.4
	"2004"	"2004"	"Illinois"	"17"	"Other and unspecified narcotics"	"T40.6"	381	12589773	3.0
	"2004"	"2004"	"Indiana"	"18"	"Other opioids"	"T40.2"	53	6233007	0.9
	"2004"	"2004"	"Indiana"	"18"	"Methadone"	"T40.3"	38	6233007	0.6
	"2004"	"2004"	"Indiana"	"18"	"Other synthetic narcotics"	"T40.4"	26	6233007	0.4
	"2004"	"2004"	"Indiana"	"18"	"Cocaine"	"T40.5"	65	6233007	1.0
	"2004"	"2004"	"Indiana"	"18"	"Other and unspecified narcotics"	"T40.6"	37	6233007	0.6
	"2004"	"2004"	"Iowa"	"19"	"Other opioids"	"T40.2"	36	2953635	1.2
	"2004"	"2004"	"Iowa"	"19"	"Methadone"	"T40.3"	12	2953635	Unreliable
	"2004"	"2004"	"Iowa"	"19"	"Other synthetic narcotics"	"T40.4"	14	2953635	Unreliable
	"2004"	"2004"	"Iowa"	"19"	"Cocaine"	"T40.5"	17	2953635	Unreliable
	"2004"	"2004"	"Kansas"	"20"	"Other opioids"	"T40.2"	60	2734373	2.2
	"2004"	"2004"	"Kansas"	"20"	"Methadone"	"T40.3"	33	2734373	1.2
	"2004"	"2004"	"Kansas"	"20"	"Other synthetic narcotics"	"T40.4"	23	2734373	0.8
	"2004"	"2004"	"Kansas"	"20"	"Cocaine"	"T40.5"	37	2734373	1.4
	"2004"	"2004"	"Kansas"	"20"	"Other and unspecified narcotics"	"T40.6"	12	2734373	Unreliable
	"2004"	"2004"	"Kentucky"	"21"	"Other opioids"	"T40.2"	97	4146101	2.3
	"2004"	"2004"	"Kentucky"	"21"	"Methadone"	"T40.3"	138	4146101	3.3
	"2004"	"2004"	"Kentucky"	"21"	"Other synthetic narcotics"	"T40.4"	33	4146101	0.8
	"2004"	"2004"	"Kentucky"	"21"	"Cocaine"	"T40.5"	56	4146101	1.4
	"2004"	"2004"	"Kentucky"	"21"	"Other and unspecified narcotics"	"T40.6"	32	4146101	0.8
	"2004"	"2004"	"Louisiana"	"22"	"Other opioids"	"T40.2"	61	4552238	1.3
	"2004"	"2004"	"Louisiana"	"22"	"Methadone"	"T40.3"	76	4552238	1.7
	"2004"	"2004"	"Louisiana"	"22"	"Other synthetic narcotics"	"T40.4"	13	4552238	Unreliable
	"2004"	"2004"	"Louisiana"	"22"	"Cocaine"	"T40.5"	69	4552238	1.5
	"2004"	"2004"	"Louisiana"	"22"	"Other and unspecified narcotics"	"T40.6"	22	4552238	0.5
	"2004"	"2004"	"Maine"	"23"	"Other opioids"	"T40.2"	31	1313688	2.4
	"2004"	"2004"	"Maine"	"23"	"Methadone"	"T40.3"	57	1313688	4.3
	"2004"	"2004"	"Maine"	"23"	"Cocaine"	"T40.5"	21	1313688	1.6
	"2004"	"2004"	"Maine"	"23"	"Other and unspecified narcotics"	"T40.6"	10	1313688	Unreliable
	"2004"	"2004"	"Maryland"	"24"	"Heroin"	"T40.1"	75	5546935	1.4
	"2004"	"2004"	"Maryland"	"24"	"Other opioids"	"T40.2"	78	5546935	1.4
	"2004"	"2004"	"Maryland"	"24"	"Methadone"	"T40.3"	99	5546935	1.8
	"2004"	"2004"	"Maryland"	"24"	"Other synthetic narcotics"	"T40.4"	16	5546935	Unreliable
